objectid,filename,title,format,creator,date,description,subject,location,latitude,longitude,source,identifier,type,language,rights,rightsstatement
item001,view_in_vienna_01.jpg,Vue d'un Superbe Illumination a Vienne // [View of a superb illumination in Vienna].,image/jpeg,Unidentified Artist,1700,Landscape with night view of Vienna,vienna;engraving;perforated hold-to-light work,"Vienna, Austria",48.208333,16.3725,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item002,view_in_vienna_02.jpg,Vue d'un Superbe Illumination a Vienne // [View of a superb illumination in Vienna].,image/jpeg,Unidentified Artist,1700,Landscape with night view of Vienna,vienna;engraving;perforated hold-to-light work,"Vienna, Austria",48.208333,16.3725,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item003,view_in_vienna_03.jpg,Vue d'un Superbe Illumination a Vienne // [View of a superb illumination in Vienna].,image/jpeg,Unidentified Artist,1700,Landscape with night view of Vienna,vienna;engraving;perforated hold-to-light work,"Vienna, Austria",48.208333,16.3725,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item004,view_of_amsterdam_01.jpg,View of Amsterdam from the East side.,image/jpeg,Unidentified Artist,1700,Landscape with view of canal in Amsterdam.,amsterdam;engraving;perforated hold-to-light work,"Amsterdam, Netherlands",48.208333,16.3725,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item005,view_of_amsterdam_02.jpg,View of Amsterdam from the East side.,image/jpeg,Unidentified Artist,1700,Landscape with view of canal in Amsterdam.,amsterdam;engraving;perforated hold-to-light work,"Amsterdam, Netherlands",48.208333,16.3725,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item006,view_of_amsterdam_03.jpg,View of Amsterdam from the East side.,image/jpeg,Unidentified Artist,1700,Landscape with view of canal in Amsterdam.,amsterdam;engraving;perforated hold-to-light work,"Amsterdam, Netherlands",48.208333,16.3725,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item007,outside_a_castle_01.jpg,Outside a Castle.,image/jpeg,"Orme, Edward",1798-01-01,Landscape with perspective view of castle at night with illuminated stained glass window at right,great britain;etching;hold-to-light work;landscape;castle,"London, England",51.507222,-0.1275,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item008,outside_a_castle_02.jpg,Outside a Castle.,image/jpeg,"Orme, Edward",1798-01-01,Landscape with perspective view of castle at night with illuminated stained glass window at right,great britain;etching;hold-to-light work;landscape;castle,"London, England",51.507222,-0.1275,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item009,outside_a_castle_03.jpg,Outside a Castle.,image/jpeg,"Orme, Edward",1798-01-01,Landscape with perspective view of castle at night with illuminated stained glass window at right,great britain;etching;hold-to-light work;landscape;castle,"London, England",51.507222,-0.1275,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item010,guildhall_london_01.jpg,"Spooner's protean views. No. 24, Guildhall London : exhibiting the civic banquet to the Queen.",image/jpeg,"Spooner, William",1831-01-01,"Scene of the Guildhall, London, empty expect for three figures. When held up to the light, the empty hall is transformed into a banquet scene with Queen Victoria seated at the centre of a long table, surrounded by figures.",great britain;lithograph;hold-to-light work;queen victoria;castle,"London, England",51.507222,-0.1275,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item011,guildhall_london_02.jpg,"Spooner's protean views. No. 24, Guildhall London : exhibiting the civic banquet to the Queen.",image/jpeg,"Spooner, William",1831-01-01,"Scene of the Guildhall, London, empty expect for three figures. When held up to the light, the empty hall is transformed into a banquet scene with Queen Victoria seated at the centre of a long table, surrounded by figures.",great britain;lithograph;hold-to-light work;queen victoria;castle,"London, England",51.507222,-0.1275,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
item012,guildhall_london_03.jpg,"Spooner's protean views. No. 24, Guildhall London : exhibiting the civic banquet to the Queen.",image/jpeg,"Spooner, William",1831-01-01,"Scene of the Guildhall, London, empty expect for three figures. When held up to the light, the empty hall is transformed into a banquet scene with Queen Victoria seated at the centre of a long table, surrounded by figures.",great britain;lithograph;hold-to-light work;queen victoria;castle,"London, England",51.507222,-0.1275,Princeton University Special Collections,,Image,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/